Nome,IA
Romagna,55
Traore' Hj.,78
Frattesi,75
Lopez M.,67
Thorstvedt,71
Matheus Henrique,61
Ceide,44
Harroui,55
Obiang,51
Berardi,89
Pinamonti,83
Raspadori,81
Alvarez A.,74
Defrel,54
D ragowski,70
Zoet,15
Zovko,5
Bastoni S.,74
Caldera,68
Kiwior,70
Amian,70
Reca,69
Sala,54
Nikolaou,57
Ferrer,53
Holm,40
H ristov,56
Capradossi,40
Bertola,50
Vignali,35
Gyasi,70
Agudelo,64
Ekdal,62
Kovalenko,73
Bourabia,56
Kornvig,45
Maldini,64
Nguiamba,41
Sher,40
Verde,73
Nzola,71
Strelec,66
Antiste,"50
35"
Berisha,75
M ilinkovic-Savic V.,62
Gemello,10
Singo,77
Vojvoda,74
Rodriguez R.,69
Lazaro,71
Djidji,65
Aina,72
Zi ma,70
Buongiorno,66
Izzo,72
Bayeye,66
Vlasic,77
Lukic,78
Verdi,78
Miranchuk,77
Radonjic Ricci S.,"77
73"
Linetty,50
I lkhan,68
Sanabria,77
Pellegri,72
Zaza,50
Seck,69
Edera,60
Silvestri,78
Padelli,0
Piana,5
Udogie,84
Rodrigo Becao,73
Perez N.,58
Masina,67
Nuytinck,65
Soppy,70
Bijol,60
Ben kovic,59
Ebosse,55
Ebosel e,55
Buta,35
Pereyra,77
Makengo,59
Samardzic,60
Walace,57
Arslan,55
Lovric,68
Jajalo,40
Pafundi,35
Beto,82
Deulofeu,82
Success,64
Nestorovski,55
Montipo',75
Berardi A.,10
Perilli,10
Faraoni,80
Ceccherini,68
Doig,68
Gunter,69
D awidowicz,64
Magnani,59
Amione,30
Coppola D.,50
Retsos,46
Bara k,80
Lazovic,74
Tameze,73
l'io,76
Miguel Veloso,64
Hongla,48
Pra sze I ik,50
Simeone,60
Henry,74
Piccoli,70
Lasagna,72
